,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1976,3,3,0,0,0,0,32,40,13.33,38.83,0,0
1,1978,2,2,0,0,1,1,94,94,47.0,71.76,1,0
2,1979,14,13,1,0,2,0,71,316,26.33,61.84,3,0
3,1980,8,8,0,1,2,0,108,297,37.13,68.75,2,0
4,1981,7,7,0,0,1,0,53,158,22.57,56.03,5,0
5,1982,3,3,0,0,2,0,74,141,47.0,69.46,4,0
6,1985,3,3,1,2,1,0,117*,289,144.5,64.8,1,0
7,1986,8,8,1,1,1,0,129*,330,47.14,76.57,2,0
8,1987,15,15,0,2,5,0,142,840,56.0,72.92,6,0
9,1988,4,4,0,0,0,0,43,110,27.5,36.91,0,0
10,1989,9,9,0,1,3,0,136,381,42.33,61.35,4,0
11,1990,12,11,2,1,1,0,112*,401,44.56,55.08,3,0
12,1991,8,8,0,0,1,1,54,244,30.5,52.93,3,0
13,1992,15,15,1,0,3,1,65,430,30.71,59.39,4,0
14,1993,9,8,0,0,0,0,45,135,16.88,49.09,6,0
15,1994,3,3,0,0,0,0,38,82,27.33,69.49,1,0
16,1995,2,2,0,0,0,1,2,2,1.0,11.11,0,0
17,Overall (17),125,122,6,8,23,4,142,4290,36.98,61.87,45,0
