,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,3,3,0,0,0,0,36,89,29.67,71.2,1,0
1,1994,5,5,0,0,1,1,55,106,21.2,50.72,4,0
2,1995,5,5,0,0,1,0,89,158,31.6,71.82,1,0
3,1996,18,18,4,0,6,1,89,666,47.57,73.19,10,0
4,1997,12,12,3,0,6,0,82,459,51.0,77.93,7,0
5,1998,1,1,0,0,0,0,4,4,4.0,57.14,0,0
6,1999,9,8,1,0,3,0,79,304,43.43,74.69,8,0
7,2000,12,9,2,0,1,0,64*,239,34.14,63.23,3,0
8,2001,6,5,1,0,1,1,62*,95,23.75,55.23,4,0
9,2002,11,11,2,0,2,0,59*,260,28.89,79.51,4,0
10,Overall (10),82,77,13,0,21,3,89,2380,37.19,71.17,42,0
