,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,3,3,0,0,1,1,63,97,32.33,59.51,1,0
1,1993,11,9,0,0,3,1,57,256,28.44,50.89,6,0
2,1994,6,6,1,0,1,2,84*,133,26.6,54.07,7,0
3,1995,6,6,0,0,0,0,41,138,23.0,44.23,0,0
4,1996,16,16,1,0,2,1,91,472,31.47,60.75,7,0
5,1997,22,22,1,0,9,1,90,843,40.14,72.36,8,0
6,1998,23,23,1,2,6,1,112,928,42.18,70.46,6,0
7,1999,26,26,0,1,2,2,140,784,30.15,68.53,8,0
8,2000,31,31,7,0,4,4,96*,648,27.0,68.21,10,0
9,2001,33,33,3,2,5,3,142*,1116,37.2,75.66,14,0
10,2002,15,13,1,1,1,1,105*,394,32.83,71.77,6,0
11,2003,17,15,3,0,4,0,96*,468,39.0,68.12,10,0
12,2004,10,9,0,0,2,1,94,259,28.78,66.58,3,0
13,2010,2,2,0,0,0,0,22,35,17.5,76.09,0,0
14,Overall (14),221,214,18,6,40,18,142*,6571,33.53,67.58,86,0
