,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1981,2,0,0,0,0,0,0,0,,,1,0
1,1982,2,0,0,0,0,0,0,0,,,4,0
2,1983,2,1,1,0,0,0,6*,6,,50.0,1,0
3,1984,12,10,5,0,1,0,88,248,49.6,88.89,4,0
4,1985,28,24,11,0,3,2,78*,500,38.46,85.03,11,0
5,1986,9,8,3,0,1,2,58*,161,32.2,54.95,4,0
6,1987,21,20,5,0,2,1,65*,512,34.13,67.46,7,0
7,1988,21,18,2,1,2,1,109*,499,31.19,70.58,7,0
8,1989,17,13,6,0,2,1,59*,287,41.0,76.13,7,0
9,1990,4,4,0,0,0,1,18,27,6.75,69.23,0,0
10,1991,12,12,1,0,2,2,82,289,26.27,86.01,5,0
11,1992,13,11,0,0,1,3,61,122,11.09,71.35,3,0
12,1993,15,12,2,0,0,0,41*,158,15.8,65.83,6,0
13,Overall (13),158,133,36,1,14,13,109*,2809,28.96,73.9,60,0
