,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,6,6,1,0,0,0,36,106,21.2,63.86,1,0
1,1994,5,5,1,0,0,2,35,57,14.25,51.35,1,0
2,1995,6,6,0,0,1,1,53,106,17.67,68.83,4,0
3,1996,16,16,1,0,1,1,70,233,15.53,48.34,2,0
4,1997,21,21,4,0,3,1,83,526,30.94,82.06,9,0
5,1998,14,14,1,0,3,1,53*,332,25.54,73.94,2,0
6,1999,21,19,5,0,1,1,67,371,26.5,69.22,3,0
7,2000,28,27,5,0,1,2,83,499,22.68,71.39,7,0
8,2001,22,22,4,0,1,2,58*,383,21.28,57.59,6,0
9,2002,2,2,0,0,0,0,29,33,16.5,89.19,0,0
10,2003,6,4,0,0,0,1,30,59,14.75,83.1,1,0
11,Overall (11),147,142,22,0,11,12,83,2705,22.54,67.44,36,0
