,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1995,2,2,0,0,0,1,16,16,8.0,43.24,1,0
1,1997,5,5,0,0,1,1,70,82,16.4,69.49,2,0
2,1998,1,1,0,0,0,0,15,15,15.0,41.67,0,0
3,1999,2,2,0,0,0,1,25,25,12.5,55.56,1,0
4,2000,4,4,0,0,1,0,57,99,24.75,57.23,1,0
5,2001,6,6,0,0,2,1,74,194,32.33,65.99,1,0
6,2002,7,7,0,0,2,2,52,117,16.71,53.42,0,0
7,2003,15,15,0,0,1,3,50,228,15.2,46.91,1,0
8,2004,16,16,0,0,2,3,65,266,16.63,65.04,4,0
9,2005,14,14,2,0,0,1,47,337,28.08,71.1,1,0
10,2006,22,18,3,0,3,3,70,461,30.73,62.21,8,0
11,2007,17,15,0,0,2,2,78,328,21.87,59.1,6,0
12,Overall (12),111,105,5,0,14,18,78,2168,21.68,60.44,26,0
