,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,3,3,0,0,0,1,11,16,5.33,34.78,0,0
1,2004,3,3,0,0,1,0,66,90,30.0,77.59,1,0
2,2005,11,11,0,0,1,2,54,172,15.64,63.24,7,0
3,2006,19,19,2,0,3,1,75,392,23.06,62.32,3,0
4,2007,10,10,0,0,1,1,80,249,24.9,66.94,5,0
5,2008,12,12,0,0,3,0,87,324,27.0,79.02,7,0
6,2009,27,27,2,3,5,2,178*,1087,43.48,88.09,12,0
7,2010,17,17,0,0,2,4,66,323,19.0,69.46,8,0
8,2011,11,11,0,0,2,2,74,341,31.0,63.62,6,0
9,2012,2,2,0,0,0,0,7,12,6.0,44.44,1,0
10,2013,14,14,0,0,2,0,85,423,30.21,74.34,2,0
11,2014,15,15,0,0,5,1,93,532,35.47,77.66,4,0
12,2015,18,17,0,0,4,1,84,469,27.59,71.49,6,0
13,2016,8,8,0,1,1,0,110,280,35.0,71.25,4,0
14,2017,8,8,0,1,1,0,111,313,39.13,88.17,3,0
15,2018,26,26,0,0,3,0,84,581,22.35,68.11,3,0
16,Overall (16),204,203,4,5,34,15,178*,5604,28.16,73.56,72,0
