,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,13,5,2,0,0,1,4,9,3.0,47.37,2,0
1,2001,22,14,2,0,0,2,46,156,13.0,91.76,6,0
2,2002,27,13,5,0,0,1,24*,115,14.38,86.47,10,0
3,2003,20,12,2,0,0,1,28,75,7.5,88.24,5,0
4,2004,11,5,2,0,0,1,41*,62,20.67,76.54,4,0
5,2005,24,10,5,0,0,2,37*,108,21.6,91.53,9,0
6,2006,23,14,3,0,0,1,37,154,14.0,71.63,4,0
7,2007,21,13,5,0,0,1,38*,150,18.75,73.89,6,0
8,2008,19,10,0,0,0,0,27,82,8.2,82.83,3,0
9,2009,26,12,2,0,0,3,49,138,13.8,99.28,9,0
10,2010,6,4,2,0,0,0,15*,34,17.0,73.91,2,0
11,2011,17,11,3,0,0,2,41,107,13.38,67.3,9,0
12,2015,7,5,2,0,0,2,22,47,15.67,97.92,2,0
13,Overall (13),236,128,35,0,0,17,49,1237,13.3,81.65,71,0
