,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1986,3,3,1,0,0,0,19,39,19.5,36.11,1,0
1,1988,5,4,2,0,0,1,15*,26,13.0,43.33,1,0
2,1989,9,9,2,0,1,0,71,177,25.29,55.49,4,0
3,1990,15,14,2,0,2,0,76,392,32.67,54.98,14,2
4,1991,4,4,0,0,0,0,26,74,18.5,36.63,4,0
5,1992,19,15,5,0,0,0,44,280,28.0,63.49,9,3
6,1993,22,18,2,1,1,0,104,412,25.75,57.38,9,0
7,1994,21,16,5,0,2,3,68*,358,32.55,63.59,10,0
8,1995,17,16,5,1,1,0,100,451,41.0,72.51,3,0
9,1996,30,25,6,0,2,4,70*,544,28.63,50.84,6,0
10,1997,20,14,2,0,0,0,38,219,18.25,49.21,11,0
11,1998,2,2,2,0,1,0,72*,82,,92.13,0,0
12,1999,14,14,4,0,2,2,73,385,38.5,59.88,7,1
13,2002,2,1,0,0,0,0,18,18,18.0,38.3,0,0
14,2003,17,13,2,0,1,0,81*,332,30.18,60.58,10,0
15,Overall (15),200,168,40,2,13,10,104,3789,29.6,57.51,89,6
