,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,7,5,1,0,0,0,11,25,6.25,62.5,2,0
1,1994,6,5,2,0,0,0,18*,46,15.33,71.88,0,0
2,1995,5,4,2,0,0,0,23*,63,31.5,79.75,0,0
3,1996,13,11,2,0,0,1,36*,161,17.89,58.55,2,0
4,1997,13,10,3,0,0,0,43*,128,18.29,66.32,5,0
5,1998,25,23,10,0,1,1,59,332,25.54,73.78,5,0
6,1999,12,10,7,0,0,0,39*,136,45.33,77.71,3,0
7,2000,30,25,6,0,1,1,51*,401,21.11,77.12,9,0
8,2001,31,25,8,0,3,1,79*,556,32.71,80.58,5,0
9,2002,7,6,2,0,1,0,50*,118,29.5,90.77,2,0
10,2003,23,19,7,0,4,2,72*,469,39.08,76.01,6,0
11,2004,11,10,4,0,2,0,64*,317,52.83,67.45,4,0
12,2005,6,6,1,0,1,0,68,191,38.2,62.62,3,0
13,Overall (13),189,159,55,0,13,6,79*,2943,28.3,73.43,46,0
