,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,3,3,0,0,0,0,35,83,27.67,70.94,1,0
1,1997,8,8,0,0,0,1,33,149,18.63,71.63,3,0
2,1998,6,6,0,0,0,0,33,60,10.0,56.07,5,0
3,1999,22,22,2,2,4,1,125,805,40.25,73.79,6,0
4,2000,20,20,2,1,4,2,111,576,32.0,79.12,4,0
5,2001,21,21,0,3,3,0,125,846,40.29,86.77,14,0
6,2002,37,37,3,5,3,8,153,1310,38.53,88.33,20,0
7,2003,21,20,3,1,4,1,143,693,40.76,86.95,4,0
8,2004,18,18,1,1,1,2,101,398,23.41,70.57,8,0
9,2005,16,16,2,2,4,1,118,726,51.86,81.39,9,0
10,2006,22,21,1,1,4,4,175,696,34.8,89.12,6,0
11,2007,26,21,2,3,6,2,119,880,46.32,92.93,15,0
12,2008,14,14,0,1,2,0,102,413,29.5,84.63,5,0
13,2009,11,11,0,1,2,0,110,425,38.64,85.86,6,0
14,2010,3,2,0,0,0,0,27,34,17.0,70.83,2,0
15,Overall (15),248,240,16,21,37,22,175,8094,36.13,83.26,108,0
