,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,4,4,0,0,2,0,75,163,40.75,68.2,0,0
1,2005,6,4,2,0,0,0,37*,63,31.5,85.14,2,0
2,2006,16,16,1,0,5,0,88,654,43.6,70.4,0,0
3,2007,33,33,1,1,6,2,126*,1080,33.75,72.48,13,0
4,2008,20,19,2,0,2,2,73,523,30.76,74.82,8,0
5,2010,4,4,2,0,1,0,84*,139,69.5,71.65,1,0
6,2011,25,24,1,0,3,1,81,612,26.61,77.86,11,0
7,2012,11,11,1,1,4,0,126,549,54.9,82.68,3,0
8,2013,16,16,1,1,4,0,113*,645,43.0,76.88,5,0
9,2014,15,15,1,0,4,0,68,479,34.21,90.89,5,0
10,2015,11,11,2,1,4,1,141,509,56.56,88.06,6,0
11,Overall (11),161,157,14,4,35,6,141,5416,37.87,77.16,54,0
