,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1980,1,1,0,0,0,0,1,1,1.0,50.0,1,0
1,1981,9,7,2,0,0,1,23*,64,12.8,74.42,10,1
2,1982,3,2,1,0,0,1,14*,14,14.0,34.15,1,0
3,1983,2,2,1,0,0,0,4*,8,8.0,114.29,1,0
4,1984,12,9,1,0,1,1,59,148,18.5,90.24,8,1
5,1985,13,10,1,0,0,0,37,142,15.78,81.14,14,3
6,1986,2,1,0,0,0,0,4,4,4.0,44.44,0,0
7,1987,6,6,1,0,0,1,29,69,13.8,130.19,3,0
8,1988,10,8,1,0,0,1,40,101,14.43,99.02,8,0
9,1989,5,2,1,0,1,0,62*,70,70.0,114.75,7,0
10,1990,17,15,3,0,0,1,47,193,16.08,105.46,16,0
11,1991,6,6,2,0,1,1,51*,146,36.5,133.94,5,0
12,1992,12,8,2,0,0,0,27,95,15.83,137.68,7,0
13,Overall (13),98,77,16,0,3,7,62*,1055,17.3,99.43,81,5
