,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1974,2,0,0,0,0,0,0,0,,,0,0
1,1975,2,2,0,0,0,1,9,9,4.5,42.86,0,0
2,1976,1,1,1,0,0,0,4*,4,,57.14,0,0
3,1977,1,1,0,0,0,0,39,39,39.0,114.71,0,0
4,1978,2,2,0,0,0,0,10,12,6.0,60.0,2,0
5,1979,4,3,2,0,0,0,21*,42,42.0,44.21,0,0
6,1980,2,1,0,0,0,0,2,2,2.0,40.0,0,0
7,1981,6,5,2,0,0,1,29*,76,25.33,62.81,0,0
8,1982,13,10,5,0,1,0,62*,284,56.8,85.29,5,0
9,1983,8,7,3,1,2,0,102*,283,70.75,76.49,5,0
10,1984,7,7,0,0,0,0,41,156,22.29,60.94,5,0
11,1985,17,15,5,0,0,2,45,255,25.5,77.74,3,0
12,1986,16,12,2,0,0,1,27*,186,18.6,59.81,5,0
13,1987,21,19,4,0,2,0,73,437,29.13,74.32,2,0
14,1988,8,8,1,0,1,0,53,181,25.86,71.54,1,0
15,1989,26,26,9,0,6,0,84*,793,46.65,84.09,3,0
16,1990,18,17,5,0,4,0,82,496,41.33,65.35,2,0
17,1991,8,8,0,0,2,0,77,225,28.13,79.51,0,0
18,1992,13,7,1,0,1,1,72,229,38.17,60.42,4,0
19,Overall (19),175,151,40,1,19,6,102*,3709,33.41,72.64,37,0
