,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1991,2,2,0,0,1,0,60,80,40.0,66.67,1,0
1,1992,28,27,1,2,4,2,117,818,31.46,80.59,11,0
2,1993,21,21,5,0,6,1,90*,808,50.5,71.38,3,0
3,1994,28,27,5,1,8,0,137*,901,40.95,68.83,5,0
4,1995,17,16,2,1,5,1,116*,699,49.93,80.72,5,0
5,1996,25,23,3,0,2,0,67,503,25.15,76.79,5,0
6,1997,30,27,4,0,7,1,85,891,38.74,,8,0
7,1998,20,18,1,1,4,2,116*,669,39.35,73.52,8,0
8,1999,29,28,4,1,10,1,107,1106,46.08,70.4,13,0
9,2000,34,32,7,1,9,2,121*,1074,42.96,67.59,11,0
10,2001,17,16,3,1,4,2,118*,646,49.69,75.82,6,0
11,2002,33,29,3,0,4,2,68,743,28.58,67.3,9,0
12,2003,18,16,4,0,3,2,64*,418,34.83,93.51,8,0
13,2004,26,22,1,2,6,2,123,911,43.38,82.97,4,0
14,2005,23,22,6,0,9,1,81*,874,54.63,89.92,6,0
15,2006,19,16,3,0,1,0,79,450,34.62,74.75,5,0
16,2007,8,8,1,0,0,1,45*,148,21.14,58.5,5,0
17,Overall (17),378,350,53,10,83,20,137*,11739,39.53,74.24,113,0
