,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,17,16,1,0,1,1,59,229,15.27,81.49,5,0
1,2002,10,10,2,0,0,2,46*,138,17.25,71.5,1,0
2,2003,22,14,1,0,1,2,81,239,18.38,68.48,6,0
3,2004,21,13,2,0,1,0,54,221,20.09,82.46,4,0
4,2005,12,9,0,0,0,1,42,207,23.0,71.63,4,0
5,2006,5,4,0,0,0,0,43,87,21.75,69.6,2,0
6,2007,23,16,5,1,4,0,101*,549,49.91,98.21,10,0
7,2008,13,8,1,0,4,1,88,319,45.57,98.76,7,0
8,2009,12,9,1,0,0,1,33*,105,13.13,70.47,2,0
9,2010,6,3,0,0,1,0,83,109,36.33,178.69,1,0
10,2011,12,7,2,0,0,0,25,90,18.0,115.38,7,0
11,2012,7,7,0,0,1,0,59,141,20.14,104.44,2,0
12,Overall (12),160,116,15,1,13,8,101*,2434,24.1,86.62,51,0
