,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,14,13,4,0,1,1,67,275,30.56,61.38,2,0
1,1997,15,15,2,0,5,0,82,519,39.92,67.4,4,0
2,1998,22,22,4,3,2,0,113*,812,45.11,74.09,8,0
3,1999,26,25,2,2,8,2,100,944,41.04,66.71,15,0
4,2000,39,38,9,0,11,3,98*,1300,44.83,66.6,15,0
5,2001,19,17,2,2,5,0,107,848,56.53,73.42,11,0
6,2002,33,32,5,1,10,0,104*,1204,44.59,75.39,18,0
7,2003,17,14,3,2,3,1,125*,595,54.09,74.56,6,0
8,2004,18,18,5,3,4,2,139,770,59.23,78.09,6,0
9,2005,25,24,3,0,7,2,91,687,32.71,63.85,4,0
10,2006,14,13,1,1,1,2,119*,373,31.08,69.07,4,0
11,2007,27,24,7,1,7,2,128*,987,58.06,77.23,8,0
12,2008,14,14,4,1,5,0,121*,557,55.7,81.43,3,0
13,2009,12,12,0,0,5,0,81,538,44.83,81.76,3,0
14,2010,12,12,2,1,6,1,104*,593,59.3,89.31,9,0
15,2011,10,10,0,0,4,0,76,370,37.0,76.13,7,0
16,2012,4,4,0,0,1,0,72,126,31.5,82.35,2,0
17,2013,4,4,0,0,1,0,50,76,19.0,69.09,4,0
18,2014,3,3,0,0,0,1,4,5,1.67,26.32,2,0
19,Overall (19),328,314,53,17,86,17,139,11579,44.36,72.89,131,0
