,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,3,3,1,0,0,1,6,7,3.5,29.17,0,0
1,2003,24,8,3,0,0,2,8,21,4.2,28.77,3,0
2,2004,12,2,1,0,0,0,11,13,13.0,40.63,5,0
3,2005,5,1,0,0,0,0,11,11,11.0,29.73,1,0
4,2006,9,7,4,0,0,0,15,33,11.0,76.74,2,0
5,2007,28,12,7,0,0,3,11*,21,4.2,31.82,9,0
6,2008,20,9,4,0,0,1,11,20,4.0,40.82,8,0
7,2009,19,8,5,0,0,0,8,21,7.0,38.89,2,0
8,2010,13,6,4,0,0,0,5*,12,6.0,46.15,6,0
9,2011,18,7,5,0,0,1,20*,40,20.0,58.82,6,0
10,2012,13,2,0,0,0,1,5,5,2.5,35.71,2,0
11,2013,10,4,3,0,0,0,28,33,33.0,132.0,3,0
12,2014,10,6,4,0,0,0,9*,22,11.0,66.67,5,0
13,2015,10,4,2,0,0,1,8,14,7.0,82.35,1,0
14,Overall (14),194,79,43,0,0,10,28,273,7.58,48.66,53,0
