,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,14,8,1,0,0,1,25*,53,7.57,54.64,3,0
1,2002,10,8,2,0,0,1,23*,63,10.5,55.75,4,0
2,2004,6,0,0,0,0,0,0,0,,,2,0
3,2005,5,3,0,0,0,1,21,33,11.0,47.14,1,0
4,2006,11,11,5,0,0,0,45*,145,24.17,85.29,4,0
5,2007,19,14,7,0,0,0,34*,214,30.57,93.45,5,0
6,2009,4,3,2,0,0,0,33,63,63.0,91.3,0,0
7,2010,9,9,5,0,2,0,98*,252,63.0,78.26,1,0
8,2011,13,8,1,0,1,1,62,139,19.86,90.26,5,0
9,2012,7,6,1,0,0,0,36,156,31.2,75.73,0,0
10,2013,12,10,3,0,1,1,53*,152,21.71,68.78,1,0
11,Overall (11),110,80,27,0,4,5,98*,1270,23.96,76.92,26,0
