,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,3,1,1,0,0,0,2*,2,,,0,0
1,2000,1,1,0,0,0,0,18,18,18.0,45.0,0,0
2,2001,6,4,2,0,0,1,32*,65,32.5,56.52,0,0
3,2002,5,5,1,0,0,0,23,49,12.25,39.84,0,0
4,2003,1,1,0,0,0,0,3,3,3.0,150.0,0,0
5,2006,15,14,2,0,1,3,68,169,14.08,53.82,5,0
6,2007,16,11,1,0,0,0,37*,146,14.6,78.92,4,0
7,2008,8,7,1,0,0,0,42,145,24.17,65.32,2,0
8,2009,15,13,0,0,2,2,74,265,20.38,74.44,4,0
9,2010,11,10,2,0,0,2,42,166,20.75,68.03,4,0
10,2011,5,5,1,0,0,0,22,27,6.75,33.75,1,0
11,Overall (11),86,72,11,0,3,8,74,1055,17.3,62.69,20,0
