,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1991,11,4,1,0,0,1,14,24,8.0,42.86,1,0
1,1992,19,13,7,0,0,3,11,44,7.33,97.78,1,0
2,1993,18,6,2,0,0,0,5*,14,3.5,48.28,2,0
3,1994,23,5,2,0,0,1,7,18,6.0,54.55,4,0
4,1995,12,6,2,0,0,1,37,76,19.0,115.15,4,0
5,1996,32,24,5,0,1,3,53,267,14.05,93.36,5,0
6,1997,14,8,0,0,0,1,37,65,8.13,65.66,0,0
7,1998,19,11,5,0,0,0,43,120,20.0,104.35,6,0
8,1999,28,14,3,0,0,2,28,121,11.0,89.63,5,0
9,2000,11,8,2,0,0,2,30,69,11.5,61.61,2,0
10,2001,11,6,2,0,0,1,7*,19,4.75,90.48,1,0
11,2002,15,7,3,0,0,2,7*,18,4.5,50.0,0,0
12,2003,16,9,4,0,0,2,15,28,5.6,36.84,1,0
13,Overall (13),229,121,38,0,1,19,53,883,10.64,79.62,32,0
