,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,2,2,1,0,0,0,28*,52,52.0,77.61,2,0
1,1976,1,1,0,0,0,0,47,47,47.0,65.28,0,0
2,1977,3,3,1,0,1,0,77*,100,50.0,72.99,0,0
3,1978,6,6,1,0,0,1,31,57,11.4,38.26,3,0
4,1979,4,3,0,0,0,2,46,46,15.33,90.2,0,0
5,1980,3,3,0,0,0,0,23,47,15.67,50.0,0,0
6,1981,6,6,0,0,2,0,74,194,32.33,76.08,1,0
7,1982,13,12,6,2,2,0,119*,501,83.5,82.13,3,0
8,1983,9,9,2,0,3,0,72,293,41.86,69.27,4,0
9,1984,17,16,1,0,3,0,80*,475,31.67,66.71,4,0
10,1985,22,22,6,0,5,1,91*,721,45.06,73.05,10,0
11,1986,19,17,4,1,4,1,116*,632,48.62,69.53,10,1
12,1987,22,22,6,2,10,0,113,1084,67.75,70.3,7,1
13,1988,13,13,2,1,5,0,100*,607,55.18,75.78,5,0
14,1989,18,18,2,0,2,0,63*,487,30.44,53.22,6,0
15,1990,18,14,0,0,1,0,75,311,22.21,56.04,5,0
16,1991,4,4,0,0,1,0,61,141,35.25,63.51,1,0
17,1992,25,24,6,1,8,0,115*,942,52.33,63.09,4,0
18,1993,23,20,2,1,3,3,107,590,32.78,64.41,3,0
19,1996,5,3,1,0,0,0,38,54,27.0,51.92,3,0
20,Overall (20),233,218,41,8,50,8,119*,7381,41.7,67.01,71,2
