,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1995,2,2,0,0,0,0,18,27,13.5,39.13,0,0
1,1998,2,2,0,0,0,0,17,21,10.5,43.75,0,0
2,1999,3,3,0,0,0,0,25,47,15.67,39.17,0,0
3,2000,4,4,2,0,2,0,85*,156,78.0,59.54,0,0
4,2001,5,5,1,0,2,0,69,186,46.5,64.14,2,0
5,2002,8,8,0,0,0,0,35,93,11.63,34.7,4,0
6,2003,4,4,0,0,0,0,16,37,9.25,28.24,0,0
7,2004,7,7,0,0,2,0,68,159,22.71,62.11,1,0
8,2005,9,9,0,0,2,1,81,225,25.0,51.72,2,0
9,2006,9,9,1,0,1,0,64*,215,26.88,60.39,1,0
10,2007,6,6,0,0,1,1,80,146,24.33,49.49,2,0
11,Overall (11),59,59,4,0,10,2,85*,1312,23.85,51.86,12,0
