,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,5,5,0,0,0,2,22,29,5.8,51.79,2,0
1,2006,3,3,2,0,1,0,60,115,115.0,90.55,2,0
2,2007,12,10,1,0,0,1,46,198,22.0,69.72,3,0
3,2008,17,13,5,0,3,0,90,476,59.5,78.16,3,0
4,2009,17,16,3,1,2,1,111*,475,36.54,93.32,12,0
5,2010,12,12,5,1,3,1,129,433,61.86,89.83,1,0
6,2011,15,15,2,0,5,1,99,563,43.31,89.37,12,0
7,2012,13,11,2,0,1,0,66*,312,34.67,75.36,4,0
8,2013,21,21,3,1,3,1,150*,659,36.61,83.52,7,0
9,2014,14,13,5,0,2,0,58*,311,38.88,82.06,6,0
10,2015,17,13,3,1,1,0,115*,366,36.6,87.14,8,0
11,2016,16,14,2,0,3,0,82,444,37.0,89.16,7,0
12,2017,17,15,4,0,0,0,38*,287,26.09,73.21,9,0
13,2018,13,13,2,0,3,0,92,348,31.64,94.05,1,0
14,2019,2,1,1,0,0,0,31*,31,,147.62,3,0
15,Overall (15),194,175,40,4,27,7,150*,5047,37.39,84.4,80,0
