,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1981,3,1,0,0,0,1,0,0,0.0,,2,0
1,1982,9,8,2,0,1,0,51*,134,22.33,62.62,7,2
2,1983,15,8,3,0,1,0,53*,190,38.0,71.7,23,2
3,1984,20,14,5,0,1,2,82*,262,29.11,72.18,22,1
4,1985,29,15,7,0,0,0,39*,199,24.88,71.84,33,3
5,1986,12,9,4,0,1,0,57*,164,32.8,70.69,16,2
6,1987,20,18,5,0,0,0,46,234,18.0,60.47,20,3
7,1988,19,14,4,0,1,1,63,254,25.4,70.36,19,4
8,1989,22,17,4,0,0,1,46,295,22.69,63.85,21,1
9,1990,8,5,2,0,0,0,27,70,23.33,85.37,10,0
10,1991,12,11,0,0,1,3,53,143,13.0,61.9,10,3
11,Overall (11),169,120,36,0,6,8,82*,1945,23.15,67.51,183,21
