,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1978,2,2,0,0,0,0,30,48,24.0,48.0,0,0
1,1979,4,4,0,0,1,0,69,166,41.5,50.0,1,0
2,1980,6,6,0,0,2,0,60,201,33.5,48.2,5,0
3,1981,10,10,1,0,3,0,81,378,42.0,56.5,2,0
4,1982,3,3,0,0,0,1,18,23,7.67,28.05,1,0
5,1983,22,22,0,0,3,1,84,598,27.18,60.34,11,0
6,1984,11,11,0,0,1,0,55,166,15.09,54.07,6,0
7,1985,13,12,0,0,1,3,65,187,15.58,51.37,3,0
8,1986,15,15,0,0,1,0,61,320,21.33,49.31,8,0
9,1987,7,7,0,0,1,0,61,252,36.0,62.07,1,0
10,1988,21,21,0,1,4,1,101,742,35.33,64.02,5,0
11,1989,5,5,0,0,1,1,59,102,20.4,61.08,0,0
12,1990,16,16,0,0,4,1,93,465,29.06,64.85,4,0
13,1991,6,6,0,0,1,0,64,122,20.33,55.71,3,0
14,1992,8,8,0,0,1,1,57,121,15.13,53.78,1,0
15,Overall (15),149,148,1,1,24,9,101,3891,26.47,57.19,51,0
