,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,18,17,3,0,0,0,45,333,23.79,69.96,7,0
1,1993,16,15,4,0,1,1,56,363,33.0,67.22,10,0
2,1994,29,28,2,0,4,1,66,819,31.5,74.18,7,0
3,1995,7,7,0,0,1,1,53,144,20.57,76.19,1,0
4,1996,25,21,5,1,2,0,121,560,35.0,77.67,7,0
5,1997,23,22,7,0,4,1,83*,578,38.53,87.44,16,0
6,1998,22,19,7,0,4,1,94*,596,49.67,86.63,18,0
7,1999,24,19,2,0,0,2,45,386,22.71,81.43,12,0
8,2000,25,23,5,0,4,1,69,551,30.61,78.94,9,0
9,2001,21,18,8,0,4,0,75*,537,53.7,96.76,6,0
10,2002,33,30,8,1,9,4,107*,1066,48.45,87.09,12,0
11,2003,2,1,0,0,0,0,2,2,2.0,33.33,0,0
12,Overall (12),245,220,51,2,33,12,121,5935,35.12,80.9,105,0
