,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,1,1,0,0,0,1,0,0,0.0,,1,0
1,2006,19,19,0,0,2,0,67,498,26.21,54.01,7,0
2,2007,9,9,0,0,3,0,73,229,25.44,58.27,4,0
3,2008,12,12,0,0,2,2,52,201,16.75,65.69,6,0
4,2009,8,8,0,0,0,2,39,106,13.25,61.27,4,0
5,2010,7,7,0,0,1,0,58,135,19.29,69.95,1,0
6,2011,4,4,0,0,1,0,62,78,19.5,61.42,1,0
7,2013,3,3,1,0,0,0,48*,65,32.5,63.73,0,0
8,2015,27,27,1,0,6,1,99,859,33.04,74.96,7,0
9,2016,10,10,0,0,1,1,53,175,17.5,52.08,2,0
10,2018,3,3,0,0,0,0,20,43,14.33,51.81,1,0
11,Overall (11),103,103,2,0,16,7,99,2389,23.65,63.13,34,0
