,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,7,6,2,0,0,0,44,141,35.25,94.0,5,0
1,2003,5,2,0,0,0,1,26,26,13.0,89.66,3,0
2,2004,1,0,0,0,0,0,0,0,,,2,0
3,2005,21,20,3,3,0,0,124,569,33.47,91.19,17,4
4,2006,23,20,3,0,1,1,56,340,20.0,75.22,22,3
5,2007,20,19,2,0,1,3,51*,293,17.24,67.67,18,4
6,2008,14,10,1,1,0,0,100,342,38.0,104.91,24,3
7,2009,20,19,2,1,2,1,116*,509,29.94,86.13,22,5
8,2010,12,12,0,0,3,0,74,357,29.75,87.93,11,2
9,2011,14,12,1,0,2,0,89,347,31.55,75.93,12,4
10,2012,4,2,0,0,0,0,4,6,3.0,35.29,1,2
11,2013,13,13,0,0,1,3,81,238,18.31,80.95,19,4
12,2017,3,3,0,0,0,1,47,68,22.67,89.47,1,0
13,Overall (13),157,138,14,5,10,10,124,3236,26.1,83.94,157,31
