,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2010,9,8,0,1,0,3,108,196,24.5,60.68,3,0
1,2011,9,8,4,1,0,0,100*,270,67.5,97.12,2,0
2,2012,15,13,0,0,3,0,69,356,27.38,71.77,5,0
3,2013,14,13,2,1,3,1,145*,453,41.18,,4,0
4,2014,12,12,1,1,7,0,123,770,70.0,87.1,8,0
5,2015,27,26,2,3,9,0,118,1376,57.33,89.88,12,0
6,2016,18,18,1,1,5,1,118,699,41.12,81.75,8,0
7,2017,14,14,0,1,5,0,100,596,42.57,85.26,7,0
8,2018,11,11,1,2,1,0,115,468,46.8,75.97,5,0
9,2019,10,10,1,0,4,0,76,370,41.11,75.98,0,0
10,Overall (10),139,133,12,11,37,5,145*,5554,45.9,82.61,54,0
