,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1988,1,1,0,0,0,0,27,27,27.0,61.36,0,0
1,1989,12,9,2,0,1,1,76*,203,29.0,50.5,5,0
2,1990,3,2,1,0,0,1,0*,0,0.0,,0,0
3,1991,9,9,2,0,1,1,59,170,24.29,66.93,2,0
4,1992,17,14,3,0,2,1,58*,297,27.0,64.71,5,0
5,1993,15,14,5,0,4,0,84,461,51.22,76.58,3,0
6,1994,14,14,0,0,1,1,72,318,22.71,87.85,4,0
7,1995,10,8,2,0,0,1,39,174,29.0,65.41,1,0
8,1996,5,5,0,0,0,3,1,2,0.4,9.52,1,0
9,1998,5,5,3,0,0,0,40*,119,59.5,65.03,1,0
10,1999,14,12,2,0,0,3,48,133,13.3,58.33,5,0
11,Overall (11),105,93,20,0,9,12,84,1904,26.08,67.47,27,0
