,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1985,2,2,0,0,0,0,18,20,10.0,24.69,0,0
1,1986,10,10,0,0,3,0,79,309,30.9,50.91,2,0
2,1987,6,6,0,0,1,0,75,206,34.33,71.53,2,0
3,1988,16,15,1,0,2,1,67,267,19.07,60.54,8,0
4,1990,21,20,4,0,2,3,78*,457,28.56,74.19,5,0
5,1991,6,6,0,0,2,0,77,217,36.17,68.89,2,0
6,1992,19,17,3,0,4,0,65*,521,37.21,64.48,5,0
7,1993,7,7,0,0,0,0,39,134,19.14,64.11,1,0
8,1994,24,22,1,2,2,2,108,681,32.43,69.21,10,0
9,1995,10,10,0,0,2,0,65,331,33.1,61.41,6,0
10,Overall (10),121,115,9,2,18,6,108,3143,29.65,64.3,41,0
