,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,9,8,0,0,1,1,85,174,21.75,55.06,2,1
1,1997,6,6,1,1,1,0,144,356,71.2,77.06,4,3
2,1998,5,5,0,0,0,1,28,62,12.4,40.0,1,0
3,1999,13,13,0,1,1,4,120,265,20.38,57.24,6,4
4,2000,1,1,0,0,0,0,6,6,6.0,75.0,0,1
5,2001,6,6,0,0,1,1,64,130,21.67,40.88,0,0
6,2002,9,9,0,0,2,1,59,226,25.11,56.93,1,0
7,2003,12,12,0,0,2,2,79,193,16.08,46.84,11,4
8,2004,2,2,0,0,0,1,33,33,16.5,40.24,2,1
9,2006,12,12,0,0,2,1,74,238,19.83,56.0,14,0
10,2008,5,4,0,0,0,0,29,55,13.75,57.29,0,0
11,2009,9,9,0,0,2,0,78,278,30.89,65.11,2,0
12,Overall (12),89,87,1,2,12,12,144,2016,23.44,56.61,43,14
