,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,2,2,0,0,0,0,35,59,29.5,92.19,2,0
1,2007,18,18,1,1,2,0,142,514,30.24,78.12,7,0
2,2008,7,6,1,0,1,0,83,190,38.0,84.82,4,0
3,2009,8,5,1,0,1,0,89*,121,30.25,66.12,5,0
4,2010,17,16,5,0,3,2,98*,452,41.09,69.01,4,0
5,2011,12,12,1,1,0,1,113,324,29.45,126.07,8,0
6,2012,4,3,0,0,0,0,39,89,29.67,70.08,0,0
7,2013,7,6,1,0,1,0,84*,184,36.8,118.71,5,0
8,2014,5,5,1,0,2,1,67,181,45.25,88.73,2,0
9,2015,14,12,0,0,1,1,50,226,18.83,87.26,6,0
10,2016,9,9,0,0,2,0,75,289,32.11,97.31,2,0
11,2017,12,10,2,0,2,0,72*,211,26.38,106.03,7,0
12,2018,13,13,2,0,1,0,50*,332,30.18,124.81,3,0
13,2019,11,10,1,0,2,0,68,272,30.22,85.8,6,0
14,Overall (14),139,127,16,2,18,5,142,3444,31.03,89.11,61,0
