,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,4,3,2,0,1,1,77*,104,104.0,83.87,3,0
1,2005,21,16,4,3,4,0,116,784,65.33,103.16,12,0
2,2006,16,16,2,0,5,0,90*,612,43.71,88.44,5,0
3,2007,25,25,4,2,7,2,104,889,42.33,78.67,8,0
4,2008,21,18,3,2,3,1,111*,658,43.87,85.12,3,0
5,2009,8,7,0,0,0,0,48,132,18.86,79.04,1,0
6,2010,9,9,0,0,0,1,33,153,17.0,74.27,0,0
7,2011,19,18,0,0,3,1,78,571,31.72,89.64,6,0
8,2012,4,4,1,2,0,0,130,281,93.67,84.38,1,0
9,2013,9,9,0,0,2,1,76,256,28.44,83.66,1,0
10,Overall (10),136,125,16,9,25,7,130,4440,40.73,86.58,40,0
