,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1995,3,3,1,0,0,0,27*,46,23.0,59.74,3,0
1,1997,7,7,1,0,0,1,12,40,6.67,43.96,5,1
2,1998,6,5,2,0,0,0,15*,31,10.33,39.74,5,2
3,1999,11,10,2,0,1,1,53*,142,17.75,59.92,8,2
4,2000,4,3,0,0,0,0,18,36,12.0,65.45,1,2
5,2001,6,6,1,0,0,2,40,51,10.2,48.57,3,0
6,2002,14,13,2,0,2,1,54*,313,28.45,48.53,13,2
7,2003,18,17,3,0,0,1,35*,217,15.5,44.65,10,4
8,2004,19,18,4,0,2,1,54,399,28.5,64.77,15,7
9,2005,14,12,6,0,2,0,71*,261,43.5,63.97,5,5
10,2006,24,16,5,0,0,1,48*,282,25.64,54.34,23,10
11,Overall (11),126,110,27,0,7,8,71*,1818,21.9,54.81,91,35
