,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1981,2,2,0,0,0,1,17,17,8.5,42.5,0,0
1,1982,6,6,0,0,3,0,95,297,49.5,115.56,3,0
2,1983,16,16,0,0,0,2,48,310,19.38,54.2,3,0
3,1984,2,2,0,0,2,0,99,149,74.5,81.42,0,0
4,1985,15,15,1,0,3,1,93*,345,24.64,70.99,4,0
5,1986,27,27,0,1,5,3,102,748,27.7,71.44,7,0
6,1987,19,19,1,1,4,1,123,598,33.22,84.46,6,0
7,1988,19,19,0,2,2,0,112,618,32.53,72.71,6,0
8,1989,18,17,1,0,3,0,65,404,25.25,58.81,8,0
9,1990,2,2,0,0,0,0,35,54,27.0,63.53,0,0
10,1991,7,7,0,0,4,0,82,276,39.43,81.42,1,0
11,1992,13,13,1,0,1,3,60,275,22.92,61.38,4,0
12,Overall (12),146,145,4,4,27,11,123,4091,29.01,71.75,42,0
