,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1994,9,4,3,0,0,0,23*,46,46.0,86.79,1,0
1,1995,11,8,4,0,0,0,30*,102,25.5,53.68,2,0
2,1996,25,15,4,0,2,0,51,238,21.64,59.95,7,0
3,1997,26,14,7,0,2,0,69*,252,36.0,84.0,8,0
4,1998,23,16,7,0,0,0,39,211,23.44,52.88,8,0
5,2000,5,2,1,0,0,0,5*,9,9.0,60.0,1,0
6,2001,24,15,3,0,0,1,32,174,14.5,61.48,7,0
7,2002,6,2,0,0,0,0,7,8,4.0,61.54,0,0
8,2003,9,8,3,0,0,0,40,156,31.2,76.1,0,0
9,2004,3,3,1,0,0,1,24*,26,13.0,118.18,0,0
10,Overall (10),141,87,33,0,4,2,69*,1222,22.63,65.1,34,0
