,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2000,14,12,3,0,2,0,85,382,42.44,66.67,5,4
1,2001,26,22,2,0,0,2,35,264,13.2,63.92,20,5
2,2002,30,30,2,0,6,1,77*,829,29.61,70.25,24,5
3,2003,26,24,5,2,1,0,103*,695,36.58,72.17,28,5
4,2004,27,23,4,1,10,0,101,1010,53.16,77.22,30,12
5,2005,23,23,3,1,4,1,138*,746,37.3,77.31,17,4
6,2006,36,33,3,1,12,1,109,1333,44.43,79.25,37,12
7,2007,26,25,1,1,6,2,110,758,31.58,71.04,30,6
8,2008,27,26,2,4,2,1,128,942,39.25,75.36,22,8
9,2009,27,27,1,0,8,1,90,919,35.35,80.33,34,5
10,2010,17,17,2,0,7,1,74,726,48.4,84.42,27,4
11,2011,27,25,3,1,9,0,111,1127,51.23,73.32,26,8
12,2012,31,29,2,3,6,0,133,1184,43.85,79.14,30,3
13,2013,25,23,4,2,10,3,169,1201,63.21,89.56,26,6
14,2014,28,28,1,4,8,2,128,1256,46.52,87.71,33,6
15,2015,14,13,3,5,2,0,124,862,86.2,102.86,13,6
16,Overall (16),404,380,41,25,93,15,169,14234,41.99,78.86,402,99
