,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,1,1,0,0,0,1,0,0,0.0,,0,0
1,2009,3,3,0,0,0,0,44,81,27.0,77.14,2,0
2,2010,1,1,0,0,1,0,51,51,51.0,80.95,1,0
3,2011,4,4,1,0,3,0,89*,252,84.0,85.71,3,0
4,2012,1,1,0,0,0,0,4,4,4.0,80.0,0,0
5,2013,5,5,0,1,1,0,133,282,56.4,80.8,2,0
6,2014,1,1,0,0,0,0,8,8,8.0,57.14,0,0
7,2015,10,9,0,1,1,2,156,293,32.56,83.95,1,0
8,2016,7,6,0,1,1,1,127,259,43.17,107.92,1,0
9,2017,8,8,0,1,2,0,109,390,48.75,93.08,4,0
10,2018,9,9,1,0,3,0,75,349,43.63,93.57,2,0
11,2019,2,2,0,0,1,0,79,113,56.5,79.58,1,0
12,Overall (12),52,50,2,4,13,4,156,2082,43.38,88.26,17,0
