,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,8,6,2,0,0,1,18*,27,6.75,38.57,1,0
1,2002,4,4,2,0,0,0,23*,52,26.0,56.52,1,0
2,2003,12,6,1,0,0,1,17,45,9.0,45.45,4,0
3,2004,15,5,5,0,0,0,44*,53,,151.43,4,0
4,2005,18,12,6,0,0,1,19,51,8.5,67.11,7,0
5,2006,7,4,2,0,0,0,21,33,16.5,78.57,4,0
6,2007,10,4,2,0,0,0,11,34,17.0,103.03,3,0
7,2008,14,8,3,0,0,0,47,138,27.6,85.71,2,0
8,2009,22,13,1,0,1,2,54,156,13.0,86.67,3,0
9,2010,13,12,1,0,1,0,52,226,20.55,98.26,4,0
10,2011,7,4,2,0,0,1,17,28,14.0,107.69,1,0
11,2012,11,8,1,0,0,1,7,26,3.71,49.06,0,0
12,2013,18,10,5,0,0,0,28*,119,23.8,92.25,5,0
13,2014,8,3,1,0,0,0,26,29,14.5,74.36,1,0
14,2015,3,2,0,0,0,1,30,30,15.0,176.47,2,0
15,Overall (15),170,101,34,0,2,8,54,1047,15.63,81.67,42,0
