,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1974,2,1,1,0,0,0,30*,30,,166.67,0,0
1,1975,1,1,0,0,0,0,10,10,10.0,71.43,0,0
2,1976,3,2,0,0,0,0,31,55,27.5,93.22,1,0
3,1978,2,2,0,0,1,0,60,83,41.5,95.4,0,0
4,1979,4,3,0,0,0,0,14,17,5.67,130.77,1,0
5,1980,6,6,2,0,0,0,39,113,28.25,100.89,2,0
6,1981,9,7,1,0,0,1,18,70,11.67,82.35,2,0
7,1982,3,3,1,0,0,0,18*,35,17.5,83.33,0,0
8,1983,25,22,0,0,1,3,52,335,15.23,129.34,7,0
9,1984,11,10,1,0,0,2,40*,92,10.22,86.79,4,0
10,1985,12,8,0,0,0,0,39,147,18.38,100.68,2,0
11,Overall (11),78,65,6,0,2,6,60,987,16.73,104.89,19,0
