,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,4,2,2,0,0,0,5*,6,,50.0,0,0
1,2005,1,1,1,0,0,0,1*,1,,16.67,0,0
2,2006,18,9,4,0,0,1,15,37,7.4,64.91,2,0
3,2007,22,9,4,0,0,1,11,29,5.8,67.44,8,0
4,2008,8,4,0,0,0,1,12,19,4.75,29.23,1,0
5,2009,11,6,1,0,0,3,15,32,6.4,80.0,0,0
6,2010,11,5,0,0,1,0,56,86,17.2,93.48,1,0
7,2011,24,13,3,0,0,4,32*,92,9.2,131.43,1,0
8,2012,32,14,4,0,0,1,19*,69,6.9,81.18,4,0
9,2013,29,16,5,0,0,6,19,53,4.82,79.1,4,0
10,2014,17,8,2,0,0,4,10,18,3.0,42.86,4,0
11,2015,14,9,3,0,0,2,17,33,5.5,76.74,3,0
12,2017,13,6,2,0,0,1,9*,21,5.25,65.63,1,0
13,2018,6,4,3,0,0,0,4*,10,10.0,76.92,1,0
14,2019,8,7,1,0,0,2,17,44,7.33,73.33,1,0
15,Overall (15),218,113,35,0,1,26,56,550,7.05,75.65,31,0
