,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,3,3,1,0,0,1,12,19,9.5,135.71,4,2
1,2005,27,24,6,2,3,1,183*,895,49.72,103.11,19,6
2,2006,29,26,6,0,7,0,96,821,41.05,92.98,33,3
3,2007,37,33,8,1,7,3,139*,1103,44.12,89.6,31,18
4,2008,29,26,7,1,8,0,109*,1097,57.74,82.3,38,11
5,2009,29,24,7,2,9,0,124,1198,70.47,85.57,26,11
6,2010,18,17,4,1,3,1,101*,600,46.15,78.95,19,4
7,2011,24,22,9,0,6,0,91*,764,58.77,89.88,17,6
8,2012,16,14,6,1,3,0,113*,524,65.5,87.63,12,5
9,2013,26,20,8,1,5,1,139*,753,62.75,96.05,21,13
10,2014,12,10,2,0,5,0,79*,418,52.25,92.07,7,6
11,2015,20,17,3,0,4,0,92*,640,45.71,86.84,27,3
12,2016,13,10,0,0,1,1,80,278,27.8,80.12,13,4
13,2017,29,22,9,1,6,0,134,788,60.62,84.73,26,13
14,2018,20,13,2,0,0,1,42*,275,25.0,71.43,17,10
15,2019,9,8,4,0,4,1,87*,327,81.75,78.23,4,5
16,Overall (16),341,289,82,10,71,10,183*,10500,50.72,87.56,314,120
