,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,7,7,2,0,1,1,74,98,19.6,74.81,2,0
1,1999,32,30,0,2,3,2,120,744,24.8,75.38,11,0
2,2000,21,20,2,1,2,1,128,554,30.78,71.3,12,0
3,2001,34,31,4,3,7,2,116,1260,46.67,81.92,16,0
4,2002,32,31,3,0,3,1,77,791,28.25,66.08,21,0
5,2003,22,19,1,0,2,4,56,313,17.39,59.17,11,0
6,2004,28,25,4,0,3,2,80,676,32.19,70.34,15,0
7,2005,17,16,3,0,5,0,94*,522,40.15,82.73,11,0
8,2006,36,34,5,2,8,2,126*,1185,40.86,87.84,17,0
9,2007,32,31,2,2,8,4,115*,1089,37.55,82.25,16,0
10,2008,27,25,3,0,6,2,94,617,28.05,72.42,22,0
11,2009,26,26,0,1,3,3,123,669,25.73,83.0,11,0
12,2010,15,15,3,1,4,1,108,509,42.42,79.91,3,0
13,2011,27,24,2,3,7,0,144,1032,46.91,82.63,16,0
14,2012,30,27,2,0,6,1,85,785,31.4,88.3,10,0
15,2013,21,19,2,1,2,0,107,557,32.76,81.43,7,0
16,2014,27,27,1,1,6,1,118,846,32.54,81.98,14,0
17,2015,14,11,0,2,1,1,104,403,36.64,90.16,3,0
18,Overall (18),448,418,39,19,77,28,144,12650,33.38,78.96,218,0
