,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,1,0,0,0,0,0,0,0,,,1,0
1,2000,15,4,2,0,0,1,3*,5,2.5,16.67,4,0
2,2001,15,1,0,0,0,0,1,1,1.0,,8,0
3,2002,31,7,3,0,0,2,11,20,5.0,45.45,6,0
4,2003,23,6,3,0,0,1,16*,45,15.0,69.23,2,0
5,2004,18,6,5,0,0,0,42*,63,63.0,126.0,2,0
6,2005,21,5,2,0,0,2,10*,11,3.67,52.38,1,0
7,2006,15,5,4,0,0,0,1*,4,4.0,36.36,2,0
8,2007,25,8,2,0,0,2,9*,37,6.17,71.15,4,0
9,2008,4,3,1,0,0,1,2,2,1.0,28.57,0,0
10,2009,5,2,2,0,0,0,9*,11,,91.67,0,0
11,Overall (11),173,47,24,0,0,9,42*,199,8.65,66.78,30,0
