,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1980,5,4,0,0,0,2,12,18,4.5,72.0,2,0
1,1981,5,3,2,0,0,0,20,45,45.0,75.0,0,0
2,1982,3,2,2,0,0,0,32*,37,,78.72,0,0
3,1983,14,7,1,0,0,0,18,47,7.83,52.22,1,0
4,1984,17,10,3,0,1,1,56*,134,19.14,67.68,5,0
5,1985,23,8,4,0,0,0,43,79,19.75,88.76,0,0
6,1986,11,6,3,0,1,0,66,89,29.67,91.75,1,0
7,1987,8,5,0,0,0,0,27,52,10.4,62.65,1,0
8,1988,8,6,0,0,0,0,41,104,17.33,90.43,0,0
9,1989,15,10,1,0,0,1,40,167,18.56,99.4,1,0
10,1990,6,3,1,0,0,0,26*,39,19.5,125.81,1,0
11,1991,12,12,2,0,0,0,22,120,12.0,64.17,1,0
12,1992,9,7,0,0,0,1,6,24,3.43,42.86,2,0
13,Overall (13),136,83,19,0,2,5,66,955,14.92,76.65,15,0
