,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1984,5,0,0,0,0,0,0,0,,,4,0
1,1985,2,1,0,0,0,0,4,4,4.0,57.14,0,0
2,1987,15,11,4,1,0,0,106,193,27.57,57.61,1,0
3,1989,13,10,3,0,0,2,25,82,11.71,62.12,1,0
4,1990,13,8,2,0,0,0,36,134,22.33,53.39,4,0
5,1991,14,8,3,0,0,0,19*,73,14.6,57.94,6,0
6,1992,21,15,3,0,0,2,36,139,11.58,57.68,2,0
7,1993,17,17,0,0,5,2,91,522,30.71,62.51,3,0
8,1994,14,13,4,1,2,1,102*,375,41.67,66.49,4,0
9,1995,12,12,2,0,4,1,83,325,32.5,60.41,0,0
10,1996,4,3,0,0,0,0,7,11,3.67,20.37,2,0
11,Overall (11),130,98,21,2,11,8,106,1858,24.13,60.27,27,0
