,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,16,10,3,0,0,1,26*,68,9.71,67.33,20,2
1,1999,27,22,5,0,1,3,51,248,14.59,70.06,38,1
2,2000,37,25,6,0,6,1,68,591,31.11,73.42,56,1
3,2001,21,10,5,0,1,0,51*,170,34.0,82.52,32,2
4,2002,36,28,5,0,5,2,70,614,26.7,86.24,45,4
5,2003,23,16,4,0,1,0,55,372,31.0,77.99,42,1
6,2004,18,14,2,0,1,3,58,262,21.83,92.58,20,1
7,2005,26,21,6,0,0,1,49,470,31.33,83.78,35,4
8,2006,24,21,4,1,5,1,147*,713,41.94,88.9,31,2
9,2007,30,23,6,0,5,2,78,631,37.12,101.77,39,0
10,2008,14,10,4,0,1,0,57*,190,31.67,94.06,19,0
11,2009,16,15,6,0,0,2,37*,310,34.44,95.68,16,3
12,2010,4,3,0,0,0,0,14,25,8.33,43.1,7,1
13,2011,3,3,1,0,0,0,13*,22,11.0,95.65,3,0
14,Overall (14),295,221,57,1,26,16,147*,4686,28.57,84.77,403,22
