,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2000,1,1,0,0,0,0,19,19,19.0,59.38,0,0
1,2001,28,27,4,0,5,0,68,664,28.87,67.27,6,0
2,2002,10,10,1,1,4,0,108*,404,44.89,80.96,1,0
3,2003,14,13,3,0,1,1,56*,325,32.5,90.28,9,0
4,2005,4,3,0,0,0,0,14,36,12.0,64.29,1,0
5,2006,22,19,5,1,0,2,100*,263,18.79,63.83,5,0
6,2007,21,19,1,0,6,1,98,630,35.0,79.35,6,0
7,2008,7,7,2,0,2,1,98,172,34.4,93.99,1,0
8,2011,18,17,3,0,4,0,88*,460,32.86,74.31,5,0
9,2012,17,16,1,2,0,2,126,482,32.13,70.36,5,0
10,2013,15,15,2,1,1,1,106*,447,34.38,60.98,4,0
11,2014,5,5,2,2,0,0,126*,303,101.0,94.69,1,0
12,2015,15,15,2,2,3,1,133*,601,46.23,84.77,3,0
13,2016,10,10,0,1,2,1,125,374,37.4,92.35,3,0
14,2017,5,4,0,0,0,0,32,61,15.25,49.19,0,0
15,2018,15,15,0,0,2,1,86,365,24.33,66.97,0,0
16,Overall (16),207,196,26,10,30,11,133*,5606,32.98,75.12,50,0
