,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1982,3,2,0,0,0,0,7,10,5.0,33.33,3,0
1,1983,9,9,2,0,2,1,97,318,45.43,72.94,3,0
2,1984,12,12,2,1,3,1,105*,416,41.6,90.24,2,0
3,1985,12,11,1,0,1,0,59,238,23.8,61.5,3,0
4,1986,20,20,1,0,5,0,93*,622,32.74,75.49,10,0
5,1987,9,9,0,0,4,0,72,324,36.0,76.96,4,0
6,1988,12,12,0,0,1,0,52,331,27.58,70.73,6,0
7,1989,5,5,2,0,1,0,87*,196,65.33,74.52,1,0
8,1990,20,20,1,1,6,0,104,810,42.63,67.95,15,0
9,1991,8,8,0,0,1,0,64,163,20.38,50.78,5,0
10,1992,18,18,7,1,6,0,100*,789,71.73,77.43,8,0
11,1993,5,5,1,0,2,0,91*,195,48.75,78.0,4,0
12,1994,5,4,0,0,1,1,83,98,24.5,68.53,1,0
13,1995,5,5,1,1,1,0,107*,194,48.5,74.05,1,0
14,Overall (14),143,140,18,4,34,3,107*,4704,38.56,72.63,66,0
