,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,22,21,3,1,6,0,122*,738,41.0,82.0,11,0
1,2010,16,16,0,0,2,3,91,363,22.69,81.21,6,0
2,2011,16,15,3,1,4,0,105,650,54.17,77.2,2,0
3,2012,11,11,0,0,5,1,85,400,36.36,83.51,5,0
4,2013,11,11,3,2,0,2,189*,406,50.75,93.33,7,0
5,2014,14,13,0,1,2,0,111,396,30.46,68.39,7,0
6,2015,32,32,5,4,8,3,237*,1489,55.15,96.56,21,0
7,2016,18,18,1,2,4,3,114,727,42.76,99.86,9,0
8,2017,9,9,1,1,1,0,180*,384,48.0,98.97,2,0
9,2018,10,10,1,1,2,1,100,423,47.0,73.18,6,0
10,2019,10,10,1,3,0,0,138,464,51.56,103.8,6,0
11,Overall (11),169,166,18,16,34,13,237*,6440,43.51,87.44,82,0
