,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1980,4,2,0,0,0,0,4,7,3.5,53.85,1,0
1,1981,8,3,3,0,0,0,11*,25,,55.56,0,0
2,1982,3,2,0,0,0,0,3,4,2.0,30.77,1,0
3,1983,22,12,6,0,0,1,40,187,31.17,76.95,10,0
4,1984,6,2,1,0,0,0,1,1,1.0,20.0,1,0
5,1985,4,2,0,0,0,0,7,14,7.0,127.27,0,0
6,1986,7,5,2,0,0,1,26,29,9.67,32.58,2,0
7,1987,9,9,0,0,1,0,64,170,18.89,61.59,1,0
8,1988,17,11,6,0,0,0,15*,72,14.4,71.29,3,0
9,1989,5,1,0,0,0,0,7,7,7.0,116.67,0,0
10,1990,8,5,1,0,0,2,13*,19,4.75,46.34,0,0
11,Overall (11),93,54,19,0,1,4,64,535,15.29,63.46,19,0
