,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,2,2,1,0,0,1,8*,8,8.0,133.33,0,0
1,1992,5,5,2,0,0,0,19*,35,11.67,45.45,1,0
2,1996,4,3,0,0,1,0,58,84,28.0,61.31,1,0
3,1997,25,25,2,1,6,2,118,879,38.22,65.4,7,0
4,1998,20,20,3,1,5,1,132*,744,43.76,72.37,14,0
5,1999,33,32,1,0,7,1,82,787,25.39,57.95,9,0
6,2000,21,21,4,3,6,2,119*,942,55.41,71.42,5,0
7,2001,33,33,5,0,10,2,92,1084,38.71,65.86,4,0
8,2002,32,32,3,2,8,0,123*,1192,41.1,71.16,8,0
9,2003,26,25,3,3,2,2,124,812,36.91,68.47,4,0
10,2004,24,21,2,1,5,2,111,729,38.37,66.09,8,0
11,2005,14,14,1,0,5,0,87,498,38.31,71.35,5,0
12,2006,22,20,4,0,4,0,80,592,37.0,75.22,4,0
13,2007,7,6,1,0,0,0,42,143,28.6,62.17,0,0
14,Overall (14),268,259,32,11,59,13,132*,8529,37.57,67.72,70,0
