,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,3,3,0,0,0,0,18,20,6.67,60.61,0,0
1,2003,9,9,2,0,0,2,28,52,7.43,85.25,2,0
2,2004,2,2,1,0,0,0,39,70,70.0,118.64,3,0
3,2005,10,7,1,0,0,2,29*,76,12.67,95.0,2,0
4,2006,27,18,5,0,1,1,51*,295,22.69,110.9,9,0
5,2007,21,17,1,0,0,1,42,233,14.56,76.64,6,0
6,2008,25,22,4,0,0,2,38,292,16.22,72.82,8,0
7,2009,6,3,0,0,0,1,5,8,2.67,26.67,3,0
8,2010,15,11,2,0,0,0,22,131,14.56,100.0,4,0
9,2011,2,0,0,0,0,0,0,0,,,0,0
10,2012,8,5,1,0,0,1,18*,43,10.75,95.56,2,0
11,2013,3,2,0,0,0,0,14,20,10.0,166.67,2,0
12,2014,13,11,3,0,0,0,39,106,13.25,95.5,3,0
13,2015,16,10,1,0,0,1,21,96,10.67,101.05,6,0
14,2016,9,8,0,0,0,0,44,98,12.25,95.15,3,0
15,2017,13,6,1,0,0,2,30*,64,12.8,87.67,3,0
16,2018,20,14,3,0,0,2,36,124,11.27,76.07,2,0
17,2019,7,3,1,0,0,0,13,24,12.0,68.57,0,0
18,Overall (18),209,151,26,0,1,15,51*,1752,14.02,87.51,58,0
