,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1977,2,2,0,0,0,0,17,22,11.0,47.83,0,0
1,1978,1,1,0,0,0,0,3,3,3.0,9.38,0,0
2,1980,2,2,1,0,0,0,17*,19,19.0,82.61,0,0
3,1981,7,7,2,0,2,1,96,278,55.6,74.33,1,0
4,1982,5,5,2,0,1,0,76,142,47.33,89.87,0,0
5,1983,7,5,1,0,0,0,43,83,20.75,62.41,2,0
6,1984,9,9,3,1,1,2,115*,231,38.5,73.8,2,0
7,1985,9,8,1,0,0,0,34,124,17.71,62.31,7,0
8,1986,5,5,0,0,0,0,39,102,20.4,56.98,0,0
9,1987,27,27,5,0,4,0,60,681,30.95,80.59,8,0
10,1988,8,8,2,0,1,0,82*,306,51.0,66.52,2,0
11,1989,3,3,0,0,0,0,37,58,19.33,48.74,0,0
12,1993,7,6,0,0,0,1,30,46,7.67,52.87,0,0
13,Overall (13),92,88,17,1,9,4,115*,2095,29.51,70.59,22,0
