,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,8,7,2,0,2,1,50*,215,43.0,64.95,4,0
1,2003,3,3,0,0,0,0,42,67,22.33,78.82,1,0
2,2004,1,1,0,0,0,0,23,23,23.0,60.53,0,0
3,2007,10,10,1,0,0,0,49,272,30.22,87.74,4,0
4,2008,21,17,5,0,5,0,79*,646,53.83,98.93,12,0
5,2009,13,12,3,0,2,1,76*,300,33.33,65.5,11,0
6,2010,2,2,0,0,0,0,17,31,15.5,58.49,0,0
7,2011,31,26,8,0,9,1,93*,964,53.56,68.08,15,0
8,2012,18,18,5,0,2,0,72*,493,37.92,68.57,5,0
9,2013,34,32,7,0,15,1,96*,1373,54.92,73.54,11,0
10,2014,12,12,0,0,2,2,73,285,23.75,69.34,0,0
11,2015,9,9,0,0,5,0,76,453,50.33,75.0,3,0
12,Overall (12),162,149,31,0,42,6,96*,5122,43.41,73.75,66,0
