,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,4,4,0,0,0,0,16,46,11.5,82.14,0,0
1,2002,7,7,0,0,0,0,44,125,17.86,68.68,1,0
2,2003,13,13,1,0,2,3,56,155,12.92,57.2,3,0
3,2004,19,19,1,0,2,3,66,332,18.44,65.87,1,0
4,2005,16,14,0,1,2,4,100,395,28.21,83.33,0,0
5,2006,26,22,4,0,3,0,67*,454,25.22,70.94,9,0
6,2007,22,21,3,0,3,0,87,509,28.28,81.31,3,0
7,2008,26,26,3,1,4,1,109,676,29.39,71.84,8,0
8,2009,19,19,1,1,3,1,103*,448,24.89,65.88,6,0
9,2010,12,12,0,0,1,0,75,220,18.33,58.98,3,0
10,2011,7,7,0,0,0,1,15,37,5.29,37.76,1,0
11,2013,6,5,0,0,0,1,29,71,14.2,68.93,0,0
12,Overall (12),177,169,13,3,20,14,109,3468,22.23,70.09,35,0
