,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1985,15,15,2,0,1,1,93*,444,34.15,67.48,5,0
1,1986,26,23,6,0,3,0,83*,528,31.06,53.55,13,0
2,1987,21,17,4,1,3,1,108*,517,39.77,74.5,10,0
3,1988,19,18,3,1,0,1,108*,481,32.07,84.98,4,0
4,1989,17,15,1,0,0,0,38,282,20.14,71.76,6,0
5,1990,13,12,4,1,4,0,108,522,65.25,83.25,4,0
6,1991,13,13,4,0,1,2,54*,229,25.44,78.97,7,0
7,1992,21,20,1,0,5,1,93,652,34.32,68.27,5,0
8,1993,18,17,4,0,8,0,95*,769,59.15,83.59,9,0
9,1994,25,24,5,0,3,0,81,689,36.26,92.48,12,0
10,1995,12,10,1,0,2,0,90*,286,31.78,71.5,7,0
11,1996,32,31,7,0,6,1,94,931,38.79,72.79,20,0
12,1997,36,32,5,1,9,0,111*,1104,40.89,71.23,20,0
13,1998,37,33,4,3,8,2,153*,1268,43.72,76.57,23,0
14,1999,18,17,2,0,4,0,74*,408,27.2,77.86,8,0
15,2000,11,11,1,0,1,0,54,268,26.8,62.76,3,0
16,Overall (16),334,308,54,7,58,9,153*,9378,36.92,74.02,156,0
