,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,22,22,0,0,3,3,69,419,19.05,51.6,9,0
1,2005,8,8,0,0,0,1,42,124,15.5,51.45,4,0
2,2006,12,12,1,0,1,1,92,255,23.18,78.22,4,0
3,2007,6,6,0,0,0,1,34,76,12.67,61.29,3,0
4,2010,10,10,0,0,3,0,68,370,37.0,76.6,5,0
5,2011,32,32,3,3,5,3,139*,1075,37.07,76.35,6,0
6,2012,18,18,0,1,2,3,105,476,26.44,67.23,5,0
7,2013,33,33,5,5,4,1,140*,1301,46.46,84.37,12,0
8,2014,12,12,0,0,4,0,76,360,30.0,79.3,7,0
9,2015,20,20,1,2,5,3,103,782,41.16,84.18,8,0
10,2016,4,4,0,0,1,0,76,166,41.5,87.37,2,0
11,2017,18,17,3,0,4,0,88,555,39.64,82.1,9,0
12,2018,8,8,1,0,2,2,81,194,27.71,77.6,5,0
13,2019,7,6,1,0,3,1,71*,208,41.6,101.46,2,0
14,Overall (14),210,208,15,11,37,19,140*,6361,32.96,76.2,81,0
