,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,3,3,1,0,1,0,58,74,37.0,90.24,3,0
1,2010,13,11,3,0,2,1,62,250,31.25,93.28,7,0
2,2011,2,2,0,0,1,0,58,105,52.5,116.67,1,0
3,2012,5,5,0,0,0,0,46,129,25.8,64.82,2,0
4,2013,4,2,1,0,1,0,51,97,97.0,112.79,3,0
5,2014,14,14,1,0,2,0,77,403,31.0,92.64,5,0
6,2015,17,16,0,1,1,2,116,374,23.38,80.6,6,0
7,2016,12,11,1,0,1,1,50,253,25.3,80.83,7,0
8,2017,16,14,2,0,0,1,48,287,23.92,89.13,11,0
9,2018,20,17,2,0,3,0,92,463,30.87,91.87,5,0
10,2019,6,5,0,0,1,0,64,157,31.4,76.96,0,0
11,Overall (11),112,100,11,1,13,5,116,2592,29.12,87.36,50,0
