,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1995,2,2,0,0,0,0,13,15,7.5,44.12,0,0
1,1997,4,4,0,0,0,0,19,23,5.75,63.89,0,0
2,1998,6,6,0,0,1,0,77,156,26.0,84.78,1,0
3,1999,6,6,0,0,0,1,29,49,8.17,79.03,2,0
4,2000,3,3,1,0,0,0,11*,24,12.0,150.0,1,0
5,2001,5,5,1,0,0,0,22*,51,12.75,80.95,1,0
6,2002,8,7,1,0,0,2,17,51,8.5,54.84,4,0
7,2003,20,18,6,0,0,0,41*,193,16.08,68.93,4,0
8,2004,17,16,2,0,0,4,32*,150,10.71,60.48,4,0
9,2005,11,11,2,0,1,1,72,160,17.78,72.73,3,0
10,2006,26,16,1,0,0,5,39,209,13.93,79.17,2,0
11,2007,17,12,3,0,0,2,40,110,12.22,66.27,6,0
12,Overall (12),125,106,17,0,2,15,77,1191,13.38,71.49,28,0
