,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,2,2,0,1,0,0,110,126,63.0,90.65,1,1
1,2010,12,12,1,2,3,1,118,517,47.0,93.32,14,3
2,2011,2,2,0,0,0,0,8,9,4.5,47.37,4,1
3,2012,5,5,0,0,0,0,37,91,18.2,80.53,3,1
4,2013,4,4,0,0,0,0,48,101,25.25,106.32,5,1
5,2014,4,4,0,0,0,0,22,40,10.0,72.73,1,0
6,2015,7,7,1,1,1,0,131*,312,52.0,98.73,3,4
7,2016,12,12,0,0,3,1,84,453,37.75,88.82,7,5
8,2017,10,10,0,0,2,0,64,252,25.2,90.0,7,5
9,2018,18,18,1,1,4,1,124,607,35.71,81.48,14,3
10,2019,6,6,0,1,1,0,101,212,35.33,87.97,3,1
11,Overall (11),82,82,3,6,14,3,131*,2720,34.43,88.69,62,25
