,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,13,11,2,1,4,2,100,479,53.22,74.15,3,0
1,1999,19,17,4,1,3,0,104*,570,43.85,73.83,8,0
2,2000,41,41,5,1,7,5,100*,1161,32.25,63.1,11,0
3,2001,16,16,2,0,3,0,91*,588,42.0,66.14,3,0
4,2002,32,30,5,5,6,2,141*,1362,54.48,84.91,6,0
5,2003,33,31,4,1,11,3,106,1168,43.26,79.13,3,0
6,2004,27,25,4,1,4,2,107*,768,36.57,79.26,8,0
7,2005,26,25,2,1,8,1,105,885,38.48,81.57,3,0
8,2006,21,19,3,0,5,0,83*,627,39.19,63.4,5,0
9,2007,24,24,4,2,9,0,117,1042,52.1,77.65,3,0
10,2008,17,15,5,2,2,0,108*,592,59.2,90.52,0,0
11,2009,9,9,0,0,1,0,87,301,33.44,73.41,1,0
12,2010,10,10,0,0,1,0,58,177,17.7,66.54,3,0
13,Overall (13),288,273,40,15,64,15,141*,9720,41.72,75.1,57,0
